economy,health,happiness
7.462609768,52.01332855,3.632
9.338126183,68.87155151,4.586
9.54070282,65.6048584,5.295
8.741956711,52.46070862,3.795
9.842000961,67.39848328,6.388
9.018901825,64.96247864,4.321
10.70041943,72.65029907,7.272
10.70491695,72.04956818,7.139
9.685745239,62.96974945,5.201
10.69341278,65.97679138,6.105
8.106625557,62.20355988,4.5
9.733157158,66.03050995,5.483
10.64765549,72.14292908,6.927
8.987882614,58.92390823,5.956
7.610313416,51.5617981,4.141
8.954587936,60.56794357,5.082
8.809252739,59.99578857,5.752
9.335348129,67.83827209,5.129
9.661838531,57.10570526,3.59
9.563308716,65.244133,6.419
9.783441544,66.4154892,4.933
7.404325962,51.99110031,4.424
6.688570023,48.56855774,2.905
8.159075737,58.37112808,4.433
8.114089012,49.73516464,4.975
10.66978168,72.19080353,7.328
6.473706245,44.31241989,3.083
7.546162128,45.65771484,4.301
10.0303154,69.43771362,6.476
9.574295998,69.15530396,5.246
9.48151207,63.98257065,6.26
8.586006165,54.78947067,4.559
6.619260788,50.42560196,4.245
9.64099884,69.69971466,7.072
9.977690697,67.19174194,5.321
10.34348869,72.60899353,5.762
10.35843086,70.87612152,6.711
10.73639584,71.31227112,7.555
9.549773216,63.33527756,5.302
9.252638817,67.146492,5.973
9.240495682,61.41292572,4.419
8.984984398,64.09542847,6.167
10.2510128,67.19956207,5.739
7.385899067,56.29846573,4.35
10.58847332,71.51750183,7.632
10.54893684,72.58893585,6.489
9.72511673,56.71204758,4.758
9.137402534,64.21975708,4.34
10.69935513,71.07910156,6.965
8.297337532,54.60906219,4.657
10.10256386,71.64774323,5.358
8.906291962,63.14404297,6.382
7.500808716,50.65055084,3.964
7.407795906,53.09695053,3.582
8.386997223,63.58446121,5.504
10.9095335,,5.43
10.15791893,67.01953888,5.62
10.71117878,72.75598145,7.495
8.713383675,59.25737381,4.19
9.284377098,60.43648911,5.093
9.796599388,65.73571777,4.707
9.640294075,60.8644371,4.456
11.04609489,71.57515717,6.977
10.39169025,71.95492554,7.19
10.4569397,73.7829361,6
8.133846283,46.52259064,4.671
9.025864601,65.81879425,5.89
10.55351734,75.08824158,5.915
9.035596848,64.29178619,5.161
10.06666183,63.86494446,5.79
7.980463028,58.29691315,4.41
9.14228344,,5.662
11.13002491,65.24454498,6.083
8.097990036,62.68017578,5.131
8.708567619,57.8695755,4.623
10.08394718,65.10926056,5.933
9.494716644,68.71563721,5.199
7.914381981,46.48040009,3.808
6.640143394,52.38557816,3.495
9.560900688,61.38998795,5.566
10.24080372,66.51541138,5.952
11.45878601,72.2013092,6.91
9.47803688,65.7304306,5.185
7.239486694,56.6400032,3.774
6.994550705,53.61896133,3.587
10.12669563,65.05530548,6.322
7.584618568,48.77823639,4.447
10.47640324,71.82951355,6.627
8.185921669,53.18614578,4.356
9.898105621,65.51927185,5.891
9.731403351,67.93598938,6.488
8.50574398,63.51566315,5.64
9.332962036,62.10375214,5.125
9.66409874,66.94611359,5.347
8.898159027,65.04904938,5.254
7.032855511,49.42869949,4.417
8.587717056,57.50941849,4.308
9.203362465,55.49542618,4.441
7.763106823,60.94758224,4.88
10.76772881,71.61999512,7.441
10.46938705,71.56855011,7.324
8.543291092,66.02167511,6.141
6.818792343,50.94501114,4.166
8.610159874,45.49649048,5.155
,,5.835
11.07193184,71.086586,7.594
8.492357254,57.33160782,5.472
8.460144997,62.95491028,4.743
9.968957901,67.87735748,6.43
9.077331543,63.35182571,5.681
9.395082474,65.20940399,5.663
8.887071609,60.12985229,5.524
10.17238712,68.57077789,6.123
10.21084213,71.80517578,5.41
11.6931572,67.53752136,6.374
9.979952812,66.85708618,5.945
10.0938797,62.83291626,5.81
7.464259148,56.58612061,3.408
10.82507515,63.93116379,6.371
7.774437428,57.63000488,4.631
9.527345657,65.5536499,5.398
7.219619751,43.99452591,4.571
11.30852604,75.72083282,6.343
10.2827034,68.42314148,6.173
10.31210327,70.94329071,5.948
,47.62682343,4.982
9.415628433,54.38080597,4.724
10.46389961,74.04169464,5.875
7.480453014,49.57999039,3.254
10.41414165,74.36348724,6.31
9.34476757,65.14221191,4.471
8.340058327,53.82001114,4.139
10.75016117,72.74526978,7.314
10.95663357,73.17375946,7.487
,60.95451355,3.462
,70.97997284,6.441
7.91971159,62.81214523,5.352
7.857804298,55.99565125,3.303
9.659890175,66.23813629,6.072
7.22990799,51.95452881,3.999
10.32386494,61.73831177,6.192
9.286602974,65.72196198,4.592
10.08501816,65.5740509,5.483
9.658661842,60.25896454,5.636
7.430361271,51.45369339,4.161
8.943782806,63.17077637,4.103
11.10885906,68.42332458,6.774
10.57631779,71.79316711,6.814
10.8869915,69.7709198,6.886
9.906208992,68.24829865,6.379
8.705645561,63.03148651,6.096
9.594682693,64.67490387,4.806
8.692094803,66.07466125,5.103
7.814972401,54.79708099,3.355
8.203147888,53.26426315,4.377
7.544406891,51.796772,200
